,grant_type,fiscal_year_total_cost
380,p50,880378.1
854,u19,868542.0
334,p01,836879.72
890,u54,523666.67
189,k12,347620.5
325,n44,329120.29
666,r44,321669.6
717,s11,293690.0
288,n01,251740.94
810,u09,228297.67
417,r01,227828.55
621,r42,214435.0
788,u01,174528.0
757,t32,133319.3
318,n43,99488.25
643,r43,99212.42
477,r15,98803.31
554,r29,97382.43
601,r41,90659.5
166,k08,83946.21
210,k17,83402.67
107,k01,69931.0
128,k02,68252.0
151,k04,64377.17
688,r55,50000.0
158,k06,34276.5
357,p20,28348.0
19,f05,27766.67
51,f31,24780.18
74,f32,24423.36
97,f33,18400.0
454,r13,11638.17
937,z01,
