,grant_type,fiscal_year_total_cost
889,u54,1000000.0
817,u10,984087.0
379,p50,813271.33
853,u19,807530.0
333,p01,800600.73
356,p20,391166.56
809,u09,368617.0
287,n01,262881.98
324,n44,240990.0
665,r44,213944.52
416,r01,208480.05
787,u01,169896.0
188,k12,138811.5
756,t32,130690.04
687,r55,100000.0
476,r15,98608.57
553,r29,91977.37
165,k08,82537.63
209,k17,75898.29
642,r43,74096.34
317,n43,73138.0
600,r41,71786.25
150,k04,68423.18
157,k06,34234.0
96,f33,28240.0
50,f31,25934.4
73,f32,24519.87
731,s15,13816.3
453,r13,12782.98
936,z01,
