,grant_type,fiscal_year_total_cost
709,rc3,2887789.2
711,rc4,2272989.0
799,u01,1558159.03
308,n02,1469840.4
299,n01,1264824.83
346,p01,1144464.66
902,u54,1066637.35
392,p50,975593.15
708,rc2,863878.81
867,u24,810266.4
403,pl1,659738.0
369,p30,623953.04
678,r44,613816.75
880,u44,467719.56
706,rc1,455590.89
696,r56,423897.56
591,r37,414013.55
565,r33,374790.33
716,rl1,354855.88
429,r01,346558.69
489,r15,345015.45
633,r42,337329.78
527,r24,303934.0
737,sc1,276683.33
729,s11,245000.0
406,r00,237379.47
655,r43,232411.88
613,r41,204035.2
200,k12,191357.86
508,r21,190095.36
140,k02,171283.85
232,k23,161971.71
178,k08,160792.28
577,r34,156000.0
119,k01,151264.3
250,k24,149869.42
266,k25,143604.25
769,t32,137327.35
747,sc2,111750.0
826,u10,90890.9
277,k99,85647.05
443,r03,72637.02
543,r25,70076.88
31,f05,53235.0
86,f32,48064.75
783,t35,34263.0
41,f30,33070.68
63,f31,27608.13
839,u13,23700.07
466,r13,12667.28
