,grant_type,fiscal_year_total_cost
337,p01,793261.39
383,p50,776423.69
893,u54,621264.93
518,r24,520810.5
328,n44,403401.5
669,r44,380136.12
582,r37,348373.08
291,n01,337141.52
624,r42,241144.5
420,r01,224166.89
720,s11,177834.56
760,t32,157598.36
223,k23,128344.12
499,r21,114974.07
604,r41,105889.5
646,r43,101911.33
321,n43,99015.62
131,k02,97876.07
169,k08,92976.82
557,r29,88077.08
110,k01,81602.0
818,u10,79850.0
241,k24,77844.62
480,r15,75569.47
154,k04,67860.67
22,f05,44308.0
161,k06,34371.0
77,f32,33353.72
99,f33,32231.5
691,r55,30000.0
54,f31,29566.31
457,r13,14457.28
940,z01,
