,grant_type,fiscal_year_total_cost
792,u01,1152384.5
339,p01,936347.98
385,p50,923276.47
520,r24,602559.0
895,u54,540154.93
671,r44,395328.11
584,r37,346813.47
422,r01,284693.45
813,u09,250000.0
193,k12,244541.0
722,s11,242400.17
626,r42,169773.33
501,r21,162360.46
819,u10,155268.0
762,t32,145643.43
536,r25,138826.5
259,k25,134091.75
606,r41,130210.0
225,k23,126554.59
648,r43,123370.84
482,r15,116894.33
133,k02,115121.58
171,k08,113935.26
243,k24,100960.35
559,r29,100865.13
112,k01,84261.33
24,f05,43705.33
101,f33,37309.0
79,f32,35081.85
163,k06,33075.0
56,f31,26831.16
459,r13,13521.81
942,z01,
