,grant_type,fiscal_year_total_cost
296,n01,1947284.79
389,p50,1411987.12
796,u01,1293475.19
343,p01,1194201.24
946,z01,1144902.55
899,u54,1130419.24
400,pl1,975318.0
524,r24,928983.0
366,p30,738257.07
713,rl1,533845.8
675,r44,527901.4
864,u24,512174.0
877,u44,503505.38
588,r37,390393.54
630,r42,380628.67
693,r56,379278.72
197,k12,364256.56
426,r01,335756.58
726,s11,297354.25
575,r34,238359.5
486,r15,209891.1
610,r41,192054.42
652,r43,189239.57
766,t32,184381.22
505,r21,171475.3
175,k08,164236.8
229,k23,158155.09
137,k02,150570.95
263,k25,147253.2
116,k01,142600.28
247,k24,141785.9
214,k22,115226.0
823,u10,110679.69
274,k99,84887.38
540,r25,72443.33
440,r03,66756.91
28,f05,51326.0
83,f32,42579.25
38,f30,35398.67
60,f31,29179.35
780,t35,20674.0
836,u13,14140.0
463,r13,11774.48
