,grant_type,fiscal_year_total_cost
384,p50,831812.09
338,p01,756354.66
519,r24,547286.0
894,u54,535262.3
292,n01,477683.28
791,u01,445176.14
670,r44,377101.11
583,r37,360767.94
721,s11,281259.33
329,n44,254548.64
421,r01,246704.37
625,r42,213476.75
192,k12,192156.25
761,t32,153355.5
535,r25,138839.0
500,r21,137509.74
258,k25,135281.0
224,k23,129671.19
481,r15,123484.44
605,r41,108418.6
647,r43,106858.39
132,k02,103140.79
170,k08,102052.16
692,r55,100000.0
322,n43,99982.5
558,r29,95096.29
242,k24,91793.56
111,k01,83761.67
155,k04,68193.0
100,f33,46300.0
23,f05,36292.0
78,f32,33585.68
162,k06,33075.0
55,f31,28697.44
458,r13,12990.42
941,z01,
