,grant_type,fiscal_year_total_cost
793,u01,2293638.12
521,r24,1134893.0
386,p50,1080971.73
340,p01,1076650.4
363,p30,645385.75
861,u24,613597.8
896,u54,537341.47
814,u09,500000.0
672,r44,414302.6
585,r37,340760.56
423,r01,315573.94
723,s11,299852.0
561,r33,286542.0
194,k12,263879.8
627,r42,243415.2
502,r21,168425.49
763,t32,166386.37
172,k08,144500.24
134,k02,139756.37
226,k23,138474.91
649,r43,137167.53
113,k01,117856.8
483,r15,113936.53
260,k25,112492.8
607,r41,111487.33
560,r29,105252.0
244,k24,101188.95
820,u10,99966.05
537,r25,88261.75
25,f05,50386.0
80,f32,42567.91
35,f30,32755.36
777,t35,29926.5
102,f33,29758.0
57,f31,29453.2
833,u13,25000.0
460,r13,10288.84
293,n01,
330,n44,
943,z01,
