,grant_type,fiscal_year_total_cost
437,r01,143464348.0
581,r35,28793914.0
516,r21,8446271.0
807,u01,7267518.0
910,u54,4209866.0
599,r37,4173673.0
377,p30,2068715.0
920,uh2,2020491.0
572,r33,2003602.0
186,k08,1716825.0
704,r56,1715775.0
354,p01,1560239.0
414,r00,1243578.0
18,dp2,1180253.0
240,k23,1123038.0
534,r24,1064156.0
551,r25,1005513.0
71,f31,986037.0
888,u44,980675.0
94,f32,811637.0
451,r03,714683.0
127,k01,616398.0
926,uh3,610562.0
915,ug3,599151.0
497,r15,399532.0
148,k02,386811.0
49,f30,331049.0
875,u24,243315.0
663,r43,182300.0
285,k99,176658.0
847,u13,67650.0
860,u19,16032.0
474,r13,10000.0
