,grant_type,fiscal_year_total_cost
298,n01,1838617.47
798,u01,1479742.13
901,u54,1077474.54
345,p01,892725.09
707,rc2,889541.97
391,p50,792051.87
368,p30,647883.55
677,r44,562388.13
715,rl1,557333.2
866,u24,555049.67
402,pl1,503565.0
879,u44,451694.8
705,rc1,444297.02
564,r33,395191.33
695,r56,373587.24
590,r37,366056.28
632,r42,328040.2
428,r01,312027.19
199,k12,262057.38
736,sc1,261305.0
728,s11,245000.0
405,r00,218819.64
654,r43,190867.62
507,r21,183206.06
768,t32,177005.19
307,n02,172209.71
216,k22,162000.0
612,r41,160634.11
139,k02,157913.61
249,k24,154484.31
177,k08,147090.33
488,r15,143635.55
231,k23,141285.78
265,k25,136190.67
118,k01,131981.71
825,u10,121648.97
526,r24,100567.0
276,k99,85963.78
542,r25,81349.82
746,sc2,79474.6
442,r03,69737.42
30,f05,54554.0
85,f32,47166.78
40,f30,34386.62
782,t35,33988.0
62,f31,27908.42
838,u13,20350.0
465,r13,10968.79
