,grant_type,fiscal_year_total_cost
892,u54,1950000.0
382,p50,926278.19
517,r24,855254.0
336,p01,837891.85
327,n44,400919.75
668,r44,351449.0
812,u09,339688.67
719,s11,269490.67
623,r42,258645.5
290,n01,256429.15
419,r01,245151.78
790,u01,200890.75
759,t32,128583.07
556,r29,102828.37
191,k12,100000.0
603,r41,99980.2
320,n43,99591.22
645,r43,99117.0
168,k08,97629.75
130,k02,93221.67
109,k01,74833.0
498,r21,72998.83
479,r15,72534.06
153,k04,68792.62
690,r55,50000.0
160,k06,34403.5
21,f05,31488.0
76,f32,28009.99
53,f31,26017.0
456,r13,10196.32
939,z01,
