,grant_type,fiscal_year_total_cost
523,r24,1581225.0
388,p50,1269038.74
795,u01,1256391.16
898,u54,1134819.21
342,p01,1133706.08
365,p30,798335.92
674,r44,489750.81
629,r42,482574.67
863,u24,445462.37
587,r37,401642.76
425,r01,332700.01
196,k12,325846.12
725,s11,316585.4
876,u44,264888.5
574,r34,217778.0
504,r21,175987.63
485,r15,175883.88
651,r43,163077.18
213,k22,162596.4
228,k23,162553.6
174,k08,159958.71
136,k02,150067.79
609,r41,143809.6
765,t32,140830.71
262,k25,139831.45
115,k01,135475.0
246,k24,125494.58
439,r03,68392.17
539,r25,65161.82
835,u13,51666.67
27,f05,50085.0
82,f32,43838.98
37,f30,32472.31
59,f31,30551.45
779,t35,25468.0
822,u10,20371.69
462,r13,11220.09
295,n01,
945,z01,
