,grant_type,fiscal_year_total_cost
891,u54,1500000.0
855,u19,909855.0
335,p01,858372.17
381,p50,817384.26
811,u09,731076.0
190,k12,521914.0
326,n44,401130.83
667,r44,363093.4
718,s11,307358.5
418,r01,231854.2
289,n01,221068.12
789,u01,202589.38
758,t32,165796.62
622,r42,142782.5
555,r29,101481.11
478,r15,100689.25
644,r43,99182.74
319,n43,98869.17
602,r41,87542.0
211,k17,84460.0
167,k08,81788.81
108,k01,73568.75
129,k02,72636.22
152,k04,68793.17
689,r55,50000.0
98,f33,36300.0
159,k06,34357.5
20,f05,33000.0
34,f06,27225.0
75,f32,26432.22
52,f31,25495.24
455,r13,9591.87
938,z01,
