,ninds_aff_type,fiscal_year_total_cost
307,schools of medicine,828010862.0
448,unavailable,156738150.0
58,independent hospitals,130169810.0
218,schools of arts and sciences,97450278.0
150,research institutes,76028522.0
12,domestic for-profits,52013852.0
241,schools of dentistry,28382870.0
127,other domestic non-profits,19987899.0
284,schools of engineering,19752042.0
402,schools of public health,19688163.0
35,domestic higher education,17779099.0
81,organized research units,12791882.0
104,other domestic higher education,11821555.0
379,schools of pharmacy,8514000.0
425,schools of veterinary medicine,7320758.0
195,schools of allied health professions,4658679.0
173,schools of  earth sciences-natural resources,3408240.0
345,schools of osteopathic medicine,1167136.0
340,schools of optometry-ophthalmology,206636.0
264,schools of education,197786.0
