,ninds_aff_type,fiscal_year_total_cost
243,schools of dentistry,489026.13
404,schools of public health,473474.32
14,domestic for-profits,454058.99
37,domestic higher education,392907.43
60,independent hospitals,388721.45
152,research institutes,367034.9
309,schools of medicine,344506.25
106,other domestic higher education,318112.7
83,organized research units,309706.22
381,schools of pharmacy,299962.86
286,schools of engineering,285785.21
197,schools of allied health professions,282341.88
220,schools of arts and sciences,274819.21
175,schools of  earth sciences-natural resources,267851.33
450,unavailable,266666.37
427,schools of veterinary medicine,259072.03
129,other domestic non-profits,225845.14
342,schools of optometry-ophthalmology,187167.0
347,schools of osteopathic medicine,159251.0
266,schools of education,109086.4
329,schools of nursing,108380.0
