,ninds_aff_type,fiscal_year_total_cost
27,domestic higher education,482322.0
322,schools of nursing,309264.0
276,schools of engineering,271484.86
394,schools of public health,257926.5
299,schools of medicine,240996.39
256,schools of education,240280.5
233,schools of dentistry,226066.25
96,other domestic higher education,220629.24
50,independent hospitals,220290.63
142,research institutes,205606.18
187,schools of allied health professions,175787.0
210,schools of arts and sciences,173402.41
73,organized research units,172483.43
165,schools of  earth sciences-natural resources,168009.12
417,schools of veterinary medicine,166224.71
4,domestic for-profits,165704.79
119,other domestic non-profits,160726.0
371,schools of pharmacy,155116.27
440,unavailable,124658.16
