,ninds_aff_type,fiscal_year_total_cost
315,schools of medicine,908928538.0
456,unavailable,176441237.0
66,independent hospitals,135916181.0
226,schools of arts and sciences,107790422.0
158,research institutes,94741164.0
20,domestic for-profits,63922849.0
292,schools of engineering,47057024.0
135,other domestic non-profits,46749087.0
112,other domestic higher education,20690116.0
410,schools of public health,17664204.0
249,schools of dentistry,17345881.0
89,organized research units,14104088.0
433,schools of veterinary medicine,12786766.0
43,domestic higher education,9875515.0
387,schools of pharmacy,9629478.0
203,schools of allied health professions,8415475.0
181,schools of  earth sciences-natural resources,4054669.0
353,schools of osteopathic medicine,951347.0
270,schools of education,173928.0
335,schools of nursing,77852.0
