,ninds_aff_type,fiscal_year_total_cost
456,unavailable,1326625.84
20,domestic for-profits,528288.01
135,other domestic non-profits,458324.38
158,research institutes,442715.72
66,independent hospitals,415645.81
43,domestic higher education,411479.79
249,schools of dentistry,403392.58
410,schools of public health,392537.87
433,schools of veterinary medicine,387477.76
226,schools of arts and sciences,346593.0
315,schools of medicine,339786.37
292,schools of engineering,331387.49
89,organized research units,328002.05
203,schools of allied health professions,290188.79
387,schools of pharmacy,275127.94
112,other domestic higher education,272238.37
181,schools of  earth sciences-natural resources,270311.27
353,schools of osteopathic medicine,237836.75
270,schools of education,173928.0
335,schools of nursing,77852.0
