,ninds_aff_type,fiscal_year_total_cost
452,unavailable,1133073.78
406,schools of public health,542273.68
16,domestic for-profits,403082.04
62,independent hospitals,378688.16
429,schools of veterinary medicine,361705.52
245,schools of dentistry,360828.02
85,organized research units,354629.17
154,research institutes,345346.0
383,schools of pharmacy,318864.11
108,other domestic higher education,318680.48
311,schools of medicine,313253.02
199,schools of allied health professions,290468.22
222,schools of arts and sciences,274145.8
288,schools of engineering,267834.12
177,schools of  earth sciences-natural resources,260275.47
349,schools of osteopathic medicine,212195.0
39,domestic higher education,202000.36
331,schools of nursing,193846.6
131,other domestic non-profits,188099.42
