,ninds_aff_type,fiscal_year_total_cost
451,unavailable,1165411.57
38,domestic higher education,732579.47
405,schools of public health,580050.52
61,independent hospitals,421347.94
244,schools of dentistry,403566.17
153,research institutes,378706.71
428,schools of veterinary medicine,361402.97
15,domestic for-profits,355738.33
84,organized research units,341304.45
107,other domestic higher education,333442.05
310,schools of medicine,332751.82
330,schools of nursing,317709.25
287,schools of engineering,302493.28
382,schools of pharmacy,299539.58
221,schools of arts and sciences,275927.34
198,schools of allied health professions,250555.36
176,schools of  earth sciences-natural resources,247922.47
130,other domestic non-profits,240093.84
348,schools of osteopathic medicine,221811.0
