,ninds_aff_type,fiscal_year_total_cost
29,domestic higher education,600471.89
324,schools of nursing,569103.0
121,other domestic non-profits,299982.19
52,independent hospitals,251576.88
301,schools of medicine,248206.88
278,schools of engineering,242802.34
189,schools of allied health professions,242530.71
144,research institutes,232432.93
98,other domestic higher education,226968.32
75,organized research units,225310.13
212,schools of arts and sciences,210714.34
396,schools of public health,209497.37
235,schools of dentistry,203603.72
6,domestic for-profits,201053.19
167,schools of  earth sciences-natural resources,197918.8
258,schools of education,189932.75
419,schools of veterinary medicine,181005.86
373,schools of pharmacy,164555.27
442,unavailable,106051.04
361,schools of osteopathy,98433.67
