,ninds_aff_type,fiscal_year_total_cost
316,schools of medicine,1072858469.0
457,unavailable,186988928.0
67,independent hospitals,147326638.0
227,schools of arts and sciences,130948933.0
159,research institutes,82901076.0
293,schools of engineering,72243385.0
21,domestic for-profits,66309019.0
136,other domestic non-profits,38711214.0
113,other domestic higher education,24785006.0
250,schools of dentistry,22236304.0
90,organized research units,20902581.0
411,schools of public health,20170184.0
44,domestic higher education,16786721.0
434,schools of veterinary medicine,14896562.0
388,schools of pharmacy,11576238.0
204,schools of allied health professions,7970902.0
182,schools of  earth sciences-natural resources,3288299.0
336,schools of nursing,848034.0
354,schools of osteopathic medicine,700926.0
271,schools of education,177055.0
