,ninds_aff_type,fiscal_year_total_cost
317,schools of medicine,144903420.0
68,independent hospitals,18649793.0
228,schools of arts and sciences,17865164.0
160,research institutes,8178459.0
114,other domestic higher education,7507884.0
91,organized research units,4745929.0
294,schools of engineering,4404217.0
45,domestic higher education,3805696.0
137,other domestic non-profits,3083793.0
22,domestic for-profits,1162975.0
389,schools of pharmacy,1109288.0
435,schools of veterinary medicine,1023712.0
205,schools of allied health professions,1020049.0
251,schools of dentistry,976063.0
412,schools of public health,956656.0
458,unavailable,548167.0
355,schools of osteopathic medicine,249000.0
