,ninds_aff_type,fiscal_year_total_cost
30,domestic higher education,1302107.33
325,schools of nursing,598042.0
397,schools of public health,345361.5
53,independent hospitals,305655.25
122,other domestic non-profits,305378.92
259,schools of education,298449.83
99,other domestic higher education,296001.64
279,schools of engineering,288499.72
190,schools of allied health professions,283255.38
302,schools of medicine,281234.8
236,schools of dentistry,261241.67
145,research institutes,259984.37
374,schools of pharmacy,255408.64
76,organized research units,252574.46
420,schools of veterinary medicine,250730.3
7,domestic for-profits,224677.76
213,schools of arts and sciences,221591.44
168,schools of  earth sciences-natural resources,176944.64
443,unavailable,135003.84
362,schools of osteopathy,100886.33
