,ninds_aff_type,fiscal_year_total_cost
115,other domestic non-profits,290682.39
46,independent hospitals,216185.53
295,schools of medicine,213754.39
138,research institutes,206188.45
436,unavailable,203496.0
272,schools of engineering,197558.78
367,schools of pharmacy,195181.6
69,organized research units,193560.44
229,schools of dentistry,191493.66
390,schools of public health,187611.0
92,other domestic higher education,165589.02
413,schools of veterinary medicine,155897.97
206,schools of arts and sciences,151324.26
23,domestic higher education,145344.75
252,schools of education,134882.67
161,schools of  earth sciences-natural resources,133131.21
0,domestic for-profits,123773.33
183,schools of allied health professions,115756.62
356,schools of osteopathy,115244.33
318,schools of nursing,84693.67
337,schools of optometry-ophthalmology,67448.67
