,ninds_aff_type,fiscal_year_total_cost
306,schools of medicine,828247640.0
447,unavailable,188767098.0
57,independent hospitals,121149401.0
217,schools of arts and sciences,98473854.0
149,research institutes,76995951.0
11,domestic for-profits,46473391.0
240,schools of dentistry,27958634.0
126,other domestic non-profits,22475739.0
283,schools of engineering,18869337.0
401,schools of public health,18330519.0
80,organized research units,14987812.0
103,other domestic higher education,13586098.0
378,schools of pharmacy,9002279.0
424,schools of veterinary medicine,6547842.0
34,domestic higher education,3786072.0
194,schools of allied health professions,3137980.0
172,schools of  earth sciences-natural resources,2851337.0
366,schools of osteopathy,1195270.0
263,schools of education,188505.0
339,schools of optometry-ophthalmology,30364.0
