,ninds_aff_type,fiscal_year_total_cost
455,unavailable,1322896.09
19,domestic for-profits,442016.37
65,independent hospitals,413259.94
409,schools of public health,407508.04
248,schools of dentistry,403488.55
42,domestic higher education,397955.22
157,research institutes,392146.23
432,schools of veterinary medicine,389851.44
88,organized research units,358329.08
134,other domestic non-profits,346600.92
314,schools of medicine,343442.41
291,schools of engineering,320254.49
386,schools of pharmacy,318952.63
334,schools of nursing,316728.0
225,schools of arts and sciences,305727.16
111,other domestic higher education,292047.26
202,schools of allied health professions,275803.69
352,schools of osteopathic medicine,255434.25
180,schools of  earth sciences-natural resources,235441.45
269,schools of education,171448.0
344,schools of optometry-ophthalmology,147000.0
