,ninds_aff_type,fiscal_year_total_cost
391,schools of public health,514964.0
24,domestic higher education,279087.71
437,unavailable,225337.53
116,other domestic non-profits,224404.37
47,independent hospitals,220340.27
368,schools of pharmacy,216873.24
296,schools of medicine,216566.62
273,schools of engineering,209919.94
230,schools of dentistry,200012.59
139,research institutes,199873.33
70,organized research units,187106.18
93,other domestic higher education,158527.22
253,schools of education,157047.5
414,schools of veterinary medicine,152250.55
207,schools of arts and sciences,143530.05
162,schools of  earth sciences-natural resources,129707.09
1,domestic for-profits,129043.61
319,schools of nursing,118714.5
357,schools of osteopathy,97170.25
184,schools of allied health professions,93426.25
338,schools of optometry-ophthalmology,91039.5
