,ninds_aff_type,fiscal_year_total_cost
302,schools of medicine,635871873.0
53,independent hospitals,85277816.0
213,schools of arts and sciences,82432016.0
145,research institutes,55376671.0
7,domestic for-profits,24489876.0
236,schools of dentistry,19854367.0
122,other domestic non-profits,15574325.0
99,other domestic higher education,13912077.0
76,organized research units,9345255.0
397,schools of public health,8288676.0
420,schools of veterinary medicine,7521909.0
279,schools of engineering,7212493.0
443,unavailable,4995142.0
30,domestic higher education,3906322.0
374,schools of pharmacy,3575721.0
190,schools of allied health professions,2266043.0
168,schools of  earth sciences-natural resources,1946391.0
259,schools of education,1790699.0
325,schools of nursing,598042.0
362,schools of osteopathy,302659.0
