,ninds_aff_type,fiscal_year_total_cost
305,schools of medicine,797959558.0
56,independent hospitals,114514565.0
216,schools of arts and sciences,105742722.0
148,research institutes,72163169.0
10,domestic for-profits,41972973.0
400,schools of public health,22745518.0
125,other domestic non-profits,20331121.0
239,schools of dentistry,19935407.0
282,schools of engineering,17791100.0
102,other domestic higher education,14868247.0
79,organized research units,13982339.0
377,schools of pharmacy,12051826.0
446,unavailable,9129766.0
423,schools of veterinary medicine,6187832.0
171,schools of  earth sciences-natural resources,3738988.0
193,schools of allied health professions,3029681.0
33,domestic higher education,2461219.0
365,schools of osteopathy,1540739.0
328,schools of nursing,660479.0
262,schools of education,433943.0
