,ninds_aff_type,fiscal_year_total_cost
304,schools of medicine,1550597960.0
55,independent hospitals,215334150.0
215,schools of arts and sciences,200882940.0
147,research institutes,144306270.0
9,domestic for-profits,73126672.0
238,schools of dentistry,54576134.0
124,other domestic non-profits,51532428.0
101,other domestic higher education,31381460.0
399,schools of public health,26106006.0
78,organized research units,24370975.0
376,schools of pharmacy,19467444.0
422,schools of veterinary medicine,19293678.0
445,unavailable,18011302.0
281,schools of engineering,17648552.0
192,schools of allied health professions,5069474.0
170,schools of  earth sciences-natural resources,4278360.0
32,domestic higher education,3181706.0
364,schools of osteopathy,1579682.0
327,schools of nursing,1342810.0
261,schools of education,1218910.0
