,ninds_aff_type,fiscal_year_total_cost
309,schools of medicine,1001135167.0
60,independent hospitals,135275064.0
220,schools of arts and sciences,120370813.0
152,research institutes,91024654.0
14,domestic for-profits,69016967.0
243,schools of dentistry,33253777.0
286,schools of engineering,28578521.0
129,other domestic non-profits,19196837.0
404,schools of public health,17518550.0
83,organized research units,17033842.0
106,other domestic higher education,15905635.0
381,schools of pharmacy,11098626.0
37,domestic higher education,8251056.0
450,unavailable,7999991.0
427,schools of veterinary medicine,7513089.0
197,schools of allied health professions,4799812.0
175,schools of  earth sciences-natural resources,4017770.0
347,schools of osteopathic medicine,1592510.0
266,schools of education,545432.0
329,schools of nursing,216760.0
342,schools of optometry-ophthalmology,187167.0
