,ninds_aff_type,fiscal_year_total_cost
301,schools of medicine,573109692.0
212,schools of arts and sciences,78807162.0
52,independent hospitals,69686796.0
144,research institutes,46951452.0
6,domestic for-profits,25734808.0
121,other domestic non-profits,15899056.0
98,other domestic higher education,14072036.0
235,schools of dentistry,12216223.0
75,organized research units,8561785.0
278,schools of engineering,7041268.0
419,schools of veterinary medicine,6697217.0
29,domestic higher education,5404247.0
396,schools of public health,3980450.0
373,schools of pharmacy,3620216.0
167,schools of  earth sciences-natural resources,2968782.0
442,unavailable,2651276.0
189,schools of allied health professions,1697715.0
258,schools of education,1519462.0
324,schools of nursing,569103.0
361,schools of osteopathy,295301.0
