,ninds_aff_type,fiscal_year_total_cost
454,unavailable,1260481.45
333,schools of nursing,515314.0
408,schools of public health,470240.56
64,independent hospitals,406388.18
87,organized research units,405724.56
156,research institutes,376367.61
18,domestic for-profits,367845.18
431,schools of veterinary medicine,363997.39
133,other domestic non-profits,341212.97
313,schools of medicine,328944.54
247,schools of dentistry,328746.11
385,schools of pharmacy,317867.42
224,schools of arts and sciences,303982.32
110,other domestic higher education,302097.3
290,schools of engineering,296689.32
351,schools of osteopathic medicine,278135.2
201,schools of allied health professions,276624.62
41,domestic higher education,272273.08
179,schools of  earth sciences-natural resources,255586.86
343,schools of optometry-ophthalmology,220500.0
268,schools of education,67133.0
