,ninds_aff_type,fiscal_year_total_cost
297,schools of medicine,374942120.0
208,schools of arts and sciences,50491307.0
48,independent hospitals,37757798.0
140,research institutes,30224812.0
2,domestic for-profits,14122547.0
231,schools of dentistry,12725336.0
94,other domestic higher education,9504263.0
117,other domestic non-profits,8441884.0
438,unavailable,7952636.0
71,organized research units,6503520.0
415,schools of veterinary medicine,5393139.0
274,schools of engineering,4989094.0
25,domestic higher education,3653337.0
369,schools of pharmacy,3357123.0
163,schools of  earth sciences-natural resources,1425855.0
392,schools of public health,1419321.0
320,schools of nursing,1041061.0
254,schools of education,967909.0
358,schools of osteopathy,516421.0
185,schools of allied health professions,143848.0
