,ninds_aff_type,fiscal_year_total_cost
314,schools of medicine,859979788.0
455,unavailable,173299388.0
65,independent hospitals,133069702.0
225,schools of arts and sciences,98444144.0
157,research institutes,88232902.0
19,domestic for-profits,57020112.0
291,schools of engineering,45796392.0
134,other domestic non-profits,34313491.0
409,schools of public health,19152878.0
111,other domestic higher education,18983072.0
248,schools of dentistry,16946519.0
88,organized research units,13616505.0
432,schools of veterinary medicine,13254949.0
386,schools of pharmacy,13077058.0
42,domestic higher education,9152970.0
202,schools of allied health professions,8825718.0
180,schools of  earth sciences-natural resources,2589856.0
352,schools of osteopathic medicine,1021737.0
334,schools of nursing,633456.0
269,schools of education,171448.0
344,schools of optometry-ophthalmology,147000.0
