,ninds_aff_type,fiscal_year_total_cost
453,unavailable,1241932.9
407,schools of public health,686569.72
267,schools of education,424787.0
17,domestic for-profits,402631.62
86,organized research units,399765.7
63,independent hospitals,385659.88
430,schools of veterinary medicine,367656.83
155,research institutes,356935.3
246,schools of dentistry,347826.42
312,schools of medicine,327539.38
200,schools of allied health professions,318242.13
289,schools of engineering,298710.01
223,schools of arts and sciences,295594.98
350,schools of osteopathic medicine,294748.0
109,other domestic higher education,281839.11
332,schools of nursing,279764.5
384,schools of pharmacy,275945.1
132,other domestic non-profits,258497.98
178,schools of  earth sciences-natural resources,248780.22
40,domestic higher education,213162.26
